loan_amnt,term,int_rate,grade,emp_length,home_ownership,annual_inc,purpose,addr_state,dti,delinq_2yrs,revol_util,loan_status,default
16795,36 months,20.25,C,2 years,RENT,73172.01,home_improvement,NY,2.36,1,37.88,Fully Paid,0
1860,36 months,20.96,G,2 years,RENT,73382.43,credit_card,FL,26.91,0,21.4,Fully Paid,0
12284,60 months,13.71,D,1 year,MORTGAGE,76045.17,other,TX,34.58,4,5.25,Fully Paid,0
7265,36 months,21.36,E,1 year,OWN,53787.9,debt_consolidation,CA,6.93,1,47.84,Fully Paid,0
17850,36 months,7.4,A,< 1 year,MORTGAGE,60659.68,other,FL,32.59,1,38.48,Fully Paid,0
22962,36 months,15.89,D,2 years,OWN,49308.31,car,FL,34.21,1,57.72,Fully Paid,0
17023,60 months,5.12,A,1 year,OWN,94556.31,other,CA,36.62,1,22.86,Fully Paid,0
2685,36 months,11.49,F,3 years,OWN,32887.06,car,NY,10.98,0,86.67,Fully Paid,0
1769,60 months,12.33,B,1 year,OWN,98071.81,car,TX,36.21,1,29.49,Charged Off,1
3433,60 months,12.92,D,10+ years,RENT,102726.99,car,NY,13.17,1,26.51,Fully Paid,0
6311,36 months,18.91,F,10+ years,OWN,68956.39,car,FL,22.32,1,50.67,Charged Off,1
18568,36 months,12.77,A,1 year,OWN,22937.26,car,TX,2.5,1,52.39,Fully Paid,0
20769,36 months,13.97,C,2 years,MORTGAGE,67773.79,home_improvement,IL,2.23,0,25.43,Fully Paid,0
29693,60 months,9.75,C,2 years,MORTGAGE,73716.32,other,FL,28.95,0,30.83,Fully Paid,0
7396,36 months,12.47,B,5 years,RENT,54788.04,home_improvement,NY,18.06,0,21.12,Fully Paid,0
28480,36 months,9.55,D,10+ years,MORTGAGE,64695.63,home_improvement,NY,10.62,0,73.25,Fully Paid,0
26658,36 months,6.46,D,3 years,OWN,105603.9,credit_card,NY,8.02,0,78.16,Fully Paid,0
19942,36 months,17.07,D,2 years,MORTGAGE,88298.54,credit_card,CA,26.96,1,48.92,Fully Paid,0
19431,36 months,18.36,F,< 1 year,RENT,56508.72,credit_card,FL,0.52,0,72.84,Fully Paid,0
